Client;Content Type;Type;Image filename;Impressions;Click-Through Rate;Engagement Rate;Total Engagement;Open Rate;Audience;Total Views;Link label;URL (original post);Platform (video only);Priority;Translated
Daniela Campos;LinkedIn post;image;daniela_campos_valentina_mora_1.png;44k;;;890;;;;View on LinkedIn;https://www.linkedin.com/posts/camposdaniela_vengo-de-una-familia-corporativa-nunca-me-activity-7122917508432437249-5MT3?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;8;TRUE
Daniela Campos;LinkedIn post;image;daniela_campos_valentina_mora_2.png;;;;443;;;;View on LinkedIn;https://www.linkedin.com/posts/camposdaniela_si-un-doctor-hace-una-cirug%C3%ADa-un-80-perfecta-activity-7158430720917442560-XLFh?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;TRUE
Daniela Campos;LinkedIn post;image;daniela_campos_valentina_mora_3.png;;;;154;;;;View on LinkedIn;https://www.linkedin.com/posts/camposdaniela_nunca-pongas-todos-tus-huevos-en-una-sola-activity-7117841291253559297-DRbP?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;TRUE
Daniela Campos;LinkedIn post;image;daniela_campos_valentina_mora_4.png;18k;;;524;;;;View on LinkedIn;https://www.linkedin.com/posts/camposdaniela_tus-metas-no-tienen-fecha-de-caducidad-activity-7107694427560628224-NrPb?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;TRUE
Daniela Campos;LinkedIn post;image;daniela_campos_valentina_mora_5.png;;;;261;;;;View on LinkedIn;https://www.linkedin.com/posts/camposdaniela_meta-autoconocimiento-activity-7079801061728768000-7XIM?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;TRUE
Daniela Campos;LinkedIn post;image;daniela_campos_valentina_mora_6.png;;;;795;;;;View on LinkedIn;https://www.linkedin.com/posts/camposdaniela_lo-que-escribas-y-en-especial-c%C3%B3mo-lo-escribas-activity-7057343189828935680-ckde?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;TRUE
Daniela Campos;LinkedIn post;image;daniela_campos_valentina_mora_7.png;;;;254;;;;View on LinkedIn;https://www.linkedin.com/posts/camposdaniela_hace-unas-semanas-hablaba-con-el-pap%C3%A1-de-activity-7056597737512787968-yTNP?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;TRUE
Daniela Campos;LinkedIn post;image;daniela_campos_valentina_mora_8.png;;;;443;;;;View on LinkedIn;https://www.linkedin.com/posts/camposdaniela_meta-activity-7054061028715696130-3w4X?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;TRUE
Daniela Campos;LinkedIn post;image;daniela_campos_valentina_mora_9.png;;;;405;;;;View on LinkedIn;https://www.linkedin.com/posts/camposdaniela_girlincorporation-diainternacionaldelamujer-activity-7039218981815115776-8Rbx?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;TRUE
Girl in Corporation;Short Video;video;girlin_valentina_mora_12.png;;;;2.2k;;;50.9k;Watch on Instagram;https://www.instagram.com/reel/CyVwXNgtG12/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;instagram;;TRUE
Girl in Corporation;Short Video;video;girlin_valentina_mora_13.png;;;;1.6k;;;60.7k;Watch on Instagram;https://www.instagram.com/reel/CzeR-6PtLe-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;instagram;;TRUE
Anna Shcherbyna;Short Video;video;anna_valentina_mora_11.png;;;;90;;;1.1k;Watch on TikTok;https://www.tiktok.com/@anna.remotivate/video/7592234691000798486?is_from_webapp=1&sender_device=pc&web_id=7624187900352595479;Tiktok;;FALSE
Anna Shcherbyna;Short Video;video;anna_valentina_mora_12.png;;;;;;;1.3k;Watch on Instagram;https://www.instagram.com/reel/DUBTTzLjK-2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;instagram;;FALSE
Anna Shcherbyna;Short Video;video;anna_valentina_mora_13.png;;;;40;;;1k;Watch on TikTok;https://www.tiktok.com/@anna.remotivate/video/7585221734979128598?is_from_webapp=1&sender_device=pc&web_id=7624187900352595479;Tiktok;;FALSE
Anna Shcherbyna;Short Video;video;anna_valentina_mora_14.png;;;;;;;1.1k;Watch on Instagram;https://www.instagram.com/reel/DTvDJx3CPpa/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;instagram;;FALSE
Girl in Corporation;LinkedIn post;image;girlin_valentina_mora_14.png;;;;102;;;;View on LinkedIn;https://www.linkedin.com/posts/girlincorporation_designthinking-girlincorporation-girlinhabilidades-activity-7121102788503232513-N-eU?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;9;TRUE
Girl in Corporation;LinkedIn post;image;girlin_valentina_mora_15.png;;;;61;;;;View on LinkedIn;https://www.linkedin.com/posts/girlincorporation_storytelling-girlincorporation-girlinhabilidades-activity-7126177697394831360-Seo8?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;10;TRUE
Girl in Corporation;LinkedIn post;image;girlin_valentina_mora_16.png;;;;221;;;;View on LinkedIn;https://www.linkedin.com/posts/girlincorporation_girlincorporation-girlinhabilidades-habilidadeslaborales-activity-7041751477568122880-N75z?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;TRUE
Girl in Corporation;LinkedIn post;image;girlin_valentina_mora_17.png;;;;137;;;;View on LinkedIn;https://www.linkedin.com/posts/girlincorporation_girlincorporation-girlinhabilidades-habilidadeslaborales-activity-7133786363119697920-qlkU?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;TRUE
Remotivate;LinkedIn post;image;remotivate_valentina_mora_10.png;41k;;;43;;;;View on LinkedIn;https://www.linkedin.com/posts/letsremotivate_letsremotivate-hiring-jobsearch-activity-7403779223443849216-h7I7?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;5;FALSE
Remotivate;LinkedIn post;image;remotivate_valentina_mora_11.png;30k;;;43;;;;View on LinkedIn;https://www.linkedin.com/posts/letsremotivate_letsremotivate-hiringmarket-jobsearch-activity-7432078627535659009-82Vy?utm_source=share&utm_medium=member_desktop&rcm=ACoAAC3tdp4BjTlxSnMUdSnRYmTtpqr9_dyNZxs;;;FALSE
Remotivate;LinkedIn post;image;remotivate_valentina_mora_13.png;6.9k;;;;;;;View on LinkedIn;https://www.linkedin.com/feed/update/urn:li:activity:7452709896258666496;;;FALSE
